t,f1_lat,f1_lon,f1_alt_ft
0.0,43.09239653435184,-86.22098350157782,23000.0
60.0,43.009063201018506,-86.14898350157782,22000.0
120.0,42.949996534358476,-86.07698350157781,21000.0
180.0,42.86666320102514,-86.00498350157781,20000.0
240.0,42.783329867691684,-85.93298350157794,19000.0
300.0,42.69999653435835,-85.86098350157793,18000.0
360.0,42.61666320102501,-85.78898350157793,17000.0
420.0,42.53332986769168,-85.73790000000646,16000.0
480.0,42.44999653435834,-85.66590000000646,15000.0
540.0,42.366663201025005,-85.59390000000646,14000.0
600.0,42.28332986769158,-85.52190000000653,13000.0
660.0,42.19999653435816,-85.44990000000652,12000.0
720.0,42.11666320102474,-85.3779000000066,11000.0
780.0,42.033329867691315,-85.30590000000666,10000.0
840.0,42.033329867691236,-85.23390000000659,9000.0
900.0,42.011766666672685,-85.16190000000647,8000.0
960.0,41.92843333333929,-85.08990000000634,8000.0
1020.0,41.845100000005914,-85.01790000000622,9000.0
1080.0,41.694900000002235,-84.94590000000613,10000.0
1140.0,41.579899999997,-84.87390000000605,11000.0
1200.0,41.544899999993504,-84.80190000000596,12000.0
1260.0,41.46156666666022,-84.72990000000587,13000.0
1320.0,41.378233333326946,-84.6812999999997,14000.0
1380.0,41.29489999999371,-84.60929999999979,15000.0
1440.0,41.294899999993625,-84.53729999999979,16000.0
1500.0,41.34732126155479,-84.46529999999991,17000.0
1560.0,41.4421189945677,-84.39329999999991,18000.0
1620.0,41.4421189945677,-84.32129999999991,19000.0
1680.0,41.522793876350974,-84.24930000000003,18000.0
1740.0,41.7375,-84.17730000000003,17000.0
1800.0,41.7375,-84.1773,17000.0
1860.0,41.7375,-84.1773,17000.0
1920.0,41.7375,-84.1773,17000.0
1980.0,41.7375,-84.1773,17000.0
2040.0,41.7375,-84.1773,17000.0
2100.0,41.7375,-84.1773,17000.0
