aircraft_1,aircraft_2,plane,SAFE,UNSAFE,ERROR,has_conflict
f1,f2,lat_alt,350.0,0.0,0,False
f1,f2,lat_lon,350.0,0.0,0,False
f1,f2,lon_alt,350.0,0.0,0,False
f1,f3,lat_alt,350.0,0.0,0,False
f1,f3,lat_lon,350.0,0.0,0,False
f1,f3,lon_alt,350.0,0.0,0,False
f1,f4,lat_alt,350.0,0.0,0,False
f1,f4,lat_lon,350.0,0.0,0,False
f1,f4,lon_alt,350.0,0.0,0,False
f1,f5,lat_alt,350.0,0.0,0,False
f1,f5,lat_lon,350.0,0.0,0,False
f1,f5,lon_alt,350.0,0.0,0,False
f2,f3,lat_alt,350.0,0.0,0,False
f2,f3,lat_lon,350.0,0.0,0,False
f2,f3,lon_alt,350.0,0.0,0,False
f2,f4,lat_alt,99.0,251.0,0,True
f2,f4,lat_lon,91.0,259.0,0,True
f2,f4,lon_alt,91.0,259.0,0,True
f2,f5,lat_alt,350.0,0.0,0,False
f2,f5,lat_lon,350.0,0.0,0,False
f2,f5,lon_alt,350.0,0.0,0,False
f3,f4,lat_alt,350.0,0.0,0,False
f3,f4,lat_lon,350.0,0.0,0,False
f3,f4,lon_alt,350.0,0.0,0,False
f3,f5,lat_alt,350.0,0.0,0,False
f3,f5,lat_lon,350.0,0.0,0,False
f3,f5,lon_alt,350.0,0.0,0,False
f4,f5,lat_alt,350.0,0.0,0,False
f4,f5,lat_lon,350.0,0.0,0,False
f4,f5,lon_alt,350.0,0.0,0,False
