t,f1_x,f1_y,f1_z,f2_x,f2_y,f2_z
0,43.6947,-80.7699,300.0,43.08,-86.2251,370.0
30,43.62521785714286,-80.84229642857143,295.35714285714283,43.0631,-86.14556785714285,361.57142857142856
60,43.55573571428572,-80.91469285714285,290.7142857142857,43.0462,-86.0660357142857,353.14285714285717
90,43.486253571428506,-80.98708928571442,286.07142857142856,43.02929999999999,-85.98650357142867,344.7142857142857
120,43.416771428571366,-81.05948571428584,281.42857142857144,43.01239999999999,-85.90697142857152,336.2857142857143
150,43.347289285714226,-81.13188214285726,276.7857142857143,42.99549999999999,-85.82743928571438,327.85714285714283
180,43.277807142857085,-81.20427857142869,272.14285714285717,42.97859999999999,-85.74790714285723,319.42857142857144
210,43.208324999999945,-81.27667500000011,267.5,42.96169999999999,-85.66837500000008,311.0
240,43.138842857142805,-81.34907142857153,262.85714285714283,42.944799999999994,-85.58884285714294,302.57142857142856
270,43.069360714285665,-81.42146785714296,258.2142857142857,42.927899999999994,-85.50931071428579,294.14285714285717
300,42.999878571428525,-81.49386428571438,253.57142857142858,42.910999999999994,-85.42977857142864,285.7142857142857
330,42.930396428571385,-81.5662607142858,248.92857142857142,42.894099999999995,-85.3502464285715,277.2857142857143
360,42.860914285714244,-81.63865714285723,244.28571428571428,42.877199999999995,-85.27071428571435,268.85714285714283
390,42.791432142857104,-81.71105357142865,239.64285714285714,42.860299999999995,-85.1911821428572,260.42857142857144
420,42.721949999999964,-81.78345000000007,235.0,42.843399999999995,-85.11165000000005,252.0
450,42.652467857142824,-81.8558464285715,230.35714285714286,42.826499999999996,-85.03211785714291,243.57142857142858
480,42.582985714285684,-81.92824285714292,225.71428571428572,42.809599999999996,-84.95258571428576,235.14285714285714
510,42.513503571428544,-82.00063928571434,221.07142857142858,42.792699999999996,-84.87305357142861,226.71428571428572
540,42.4440214285714,-82.07303571428577,216.42857142857142,42.7758,-84.79352142857147,218.28571428571428
570,42.37453928571426,-82.14543214285719,211.78571428571428,42.7589,-84.71398928571432,209.85714285714286
600,42.30505714285712,-82.21782857142861,207.14285714285714,42.742,-84.63445714285717,201.42857142857142
630,42.23557499999998,-82.29022500000004,202.5,42.7251,-84.55492500000003,193.0
660,42.16609285714284,-82.36262142857146,197.85714285714286,42.7082,-84.47539285714288,184.57142857142858
690,42.0966107142857,-82.43501785714288,193.21428571428572,42.6913,-84.39586071428573,176.14285714285714
720,42.02712857142856,-82.5074142857143,188.57142857142858,42.6744,-84.31632857142858,167.71428571428572
750,41.95764642857142,-82.57981071428573,183.92857142857142,42.6575,-84.23679642857144,159.28571428571428
780,41.88816428571428,-82.65220714285715,179.28571428571428,42.6406,-84.15726428571429,150.85714285714286
810,41.81868214285714,-82.72460357142857,174.64285714285714,42.6237,-84.07773214285714,142.42857142857142
840,41.7492,-82.797,170.0,42.6068,-83.9982,134.0
