size,trial,status,returncode,runtime_sec,stderr_tail
10,1,ok,0,33.365,
10,2,ok,0,34.476,
10,3,ok,0,32.469,
10,4,ok,0,35.124,
10,5,ok,0,30.588,
10,6,ok,0,38.11,
10,7,ok,0,36.523,
10,8,ok,0,32.883,
10,9,ok,0,34.396,
10,10,ok,0,28.61,
15,1,ok,0,67.408,
15,2,ok,0,76.362,
15,3,ok,0,80.268,
15,4,ok,0,83.999,
15,5,ok,0,83.203,
15,6,ok,0,76.205,
15,7,ok,0,74.337,
15,8,ok,0,71.359,
15,9,ok,0,70.124,
15,10,ok,0,66.566,
20,1,ok,0,143.87,
20,2,ok,0,148.161,
20,3,ok,0,131.38,
20,4,ok,0,135.014,
20,5,ok,0,124.172,
20,6,ok,0,216.903,
20,7,ok,0,129.013,
20,8,ok,0,151.289,
20,9,ok,0,170.58,
20,10,ok,0,141.098,
25,1,ok,0,229.325,
25,2,ok,0,226.327,
25,3,ok,0,231.253,
25,4,ok,0,233.172,
25,5,timeout,,900,
25,6,ok,0,262.967,
25,7,ok,0,733.585,
25,8,ok,0,406.95,
25,9,ok,0,220.548,
25,10,ok,0,239.357,
30,1,ok,0,369.757,
30,2,timeout,,900,
30,3,ok,0,370.29,
30,4,ok,0,382.071,
30,5,timeout,,900,
30,6,timeout,,900,
30,7,ok,0,361.8,
30,8,ok,0,332.309,
30,9,ok,0,406.569,
30,10,ok,0,430.051,
