t,x1,y1,z1,x2,y2,z2
0,43.080000,-86.225000,370.000000,40.673330,-80.767220,340.000000
30,41.580000,-86.111943,340.000000,39.173330,-80.933887,310.000000
60,40.080000,-85.945277,310.000000,37.934997,-81.362220,280.000000
90,38.580000,-85.945277,280.000000,39.001663,-81.962220,250.000000
120,38.580000,-85.345277,250.000000,40.014440,-82.562220,220.000000
150,39.595000,-84.745277,220.000000,41.514440,-82.562220,193.000000
180,39.595000,-84.145277,190.000000,41.514440,-82.562220,193.000000
210,41.095000,-84.145277,160.000000,41.514440,-82.562220,193.000000
240,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
270,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
300,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
330,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
360,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
390,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
420,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
450,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
480,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
510,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
540,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
570,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
600,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
630,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
660,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
690,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
720,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
750,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
780,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
810,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
840,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
870,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
900,42.595000,-83.978610,130.000000,41.514440,-82.562220,193.000000
